Layer-Head ID,pre,Layer-Head ID,recall,Layer-Head ID,inf
16-10,0.5142916857,2-9,1,16-10,0.5860542148
17-29,0.4023751356,2-27,1,17-29,0.4687408
14-31,0.3589743457,2-28,1,14-31,0.4557720708
16-1,0.3351686089,2-8,1,0-29,0.4380948774
17-24,0.3082260041,4-17,1,24-17,0.4374233985
20-24,0.3039978684,2-31,1,16-1,0.4212142799
16-19,0.2967139761,2-11,1,0-30,0.4084457186
24-17,0.2940397145,2-30,1,0-18,0.3969545217
0-29,0.2836404706,2-18,1,20-24,0.3928194348
17-21,0.2789543649,2-17,1,0-31,0.39009507
21-26,0.2746019471,2-10,1,0-15,0.386747632
0-30,0.2605233439,2-12,1,0-13,0.3865608763
18-20,0.260397588,0-31,0.9994541627,17-24,0.3804540854
0-18,0.2509177289,4-18,0.9993252362,0-28,0.3762025581
0-31,0.2453497914,4-24,0.9992997199,16-19,0.3596283675
0-15,0.2434514723,5-26,0.9992846924,21-26,0.3560919328
0-13,0.2433835423,4-27,0.999272198,0-21,0.3550907399
0-28,0.2368929671,4-13,0.9992492492,18-20,0.3466921861
0-21,0.2194831021,4-12,0.9991909385,24-16,0.3354548005
24-16,0.2172483827,2-23,0.9991624791,0-19,0.335296501
14-20,0.214267006,2-0,0.9991319444,0-17,0.3297614582
0-19,0.2089188616,2-25,0.9991319444,0-22,0.3288471836
0-22,0.2028744179,2-29,0.9991134752,17-21,0.3218198757
0-17,0.1998730931,2-13,0.9991039427,2-15,0.3203089911
25-5,0.1967649413,2-26,0.9990990991,2-6,0.3195137366
2-15,0.191843007,2-16,0.9990942029,2-3,0.3155311932
2-6,0.1913225883,2-7,0.9990942029,2-20,0.3139933977
2-3,0.1876047104,2-2,0.9990636704,2-14,0.3128853564
2-20,0.1870364787,2-4,0.9990530303,2-1,0.3124026469
2-14,0.1865171956,5-16,0.9988814318,25-5,0.3110507203
24-18,0.1860558942,3-7,0.9987468672,2-21,0.3096686565
2-1,0.1854998191,3-5,0.9987373737,2-24,0.3056920664
22-1,0.184234667,3-4,0.9987277354,14-20,0.3038322573
2-21,0.1837237686,4-25,0.9981583794,2-5,0.3025852669
26-12,0.1819978312,6-28,0.9979369133,2-23,0.3011929833
2-24,0.1807092074,4-14,0.9978632479,2-19,0.3009117881
2-5,0.178848791,5-25,0.9978354978,22-1,0.2986303545
21-24,0.1788045448,4-7,0.9978070175,2-0,0.2957478553
2-19,0.1784125186,4-4,0.9976190476,2-22,0.2956804468
2-23,0.1776202293,3-6,0.9975308642,2-4,0.2955683244
